Name;Also Known As;Biography;Date of Birth;Website;Twitter;Instagram;Ethereum Address 1;Ethereum Address 2;Ethereum Address 3;Tezos Address 1;Tezos Address 2;Tezos Address 3
0xhaiku;;"<p id="""">0xhaiku is a Japan-based artist who explores new ways of presenting and participating in digital art. After directing a theater company in youth, 0xhaiku has worked as a developer and designer for over a decade with start-ups in Tokyo, London and San Fransisco. Many of 0xhaiku’s projects dive into on-chain experimental ideas that shine light on unique ways of utilizing contracts and ledgers in digital art. His work has been showcased across notable collections, exhibitions and awards. In 2023, 0xhaiku was selected for The Lumen Prize Crypto Award Longlist.</p>";;https://0xhaiku.com/;https://x.com/0xhaiku;;0xe25384b0CBa42E063D653F5e8229B7d901600be6;;;;;
Aaron Penne;;"<p id="""">Aaron Penne is an artist-engineer who began making generative artwork in 2017. Penne has a master’s degree in Electrical Engineering from the University of California, San Diego. He then pivoted to data engineering while working at AWS. Last year, an action figure was released based on his name. Penne is currently the Director of Engineering at Art Blocks, helping build the future of generative art. His work has been sold at Sotheby’s and Christie’s and has been shown internationally at galleries and museums such as ZKM Karlsruhe, Gazelli Art House, Art Singapore, Seattle NFT Museum, CADAF, Bright Moments and others. In 2022, Penne and his musical collaborator Boreta were awarded the inaugural Lumen Prize NFT Award for their project <em id="""">Rituals - Venice</em>.</p>";July 9, 1988;https://www.aaronpenne.io/;https://twitter.com/aaronpenne;https://www.instagram.com/aaron_penne/;0x92Fb249865aE0d26120031868ba07434674a1600;0x3Fe227F41A54DC54972e7359D4fC55020bB8AB50;;;;
Aleksandra Jovanić;Barbie;<p>Aleksandra Jovanić is an artist and programmer from Belgrade exploring visual investigations through code. Holding a doctorate in Digital Arts and a BSc in Computer Science, she teaches as an assistant professor at the Faculty of Fine Arts in Belgrade. Her research and artistic practice span interactive art, games, and generative systems, with a recent focus on the aesthetics of data visualization, optical illusions, and explorations of accepted truths. Her work has been internationally exhibited the world in locations like Unit London, VerticalCrypto Art, Feral File, Vellum LA, and Art Basel.</p>;;http://aleksandrajovanic.com/;https://twitter.com/alexis_o_O;https://www.instagram.com/aleksandrajovanic;0xDE6C922021e77D7E3E615331000370d9153dA9AB;;;tz1h3Cz9aMM6aiNbfPhybev6o9KCfY8geaPd;;
Barbie;;"<p id="""">Alexander Mordvintsev is a researcher and artist based in Zurich, Switzerland, whose work explores the artistic capabilities of AI. He weaves machine learning, emergent phenomena, computer graphics and vision in his projects. Mordvintsev is best known for creating the DeepDream algorithm in 2015, which sparked a fundamental shift in how we visualize what neural networks ""see"", inspiring a new wave of artists to experiment with AI. His artworks have been exhibited at international venues such as the Barbican Centre, Gray Area, SIGGRAPH, Kate Vass Galerie and others. Currently working at Google Research, Mordvintsev focuses on designing artificial self-organizing systems and is passionate about discovering the new, often unintended, artistic capabilities of AI.</p>";;https://znah.net/;https://twitter.com/zzznah;;0xdE089C6a499644C7bd721F18FcC1dAe532261022;;;https://tzkt.io/tz1LS9yPMo6cUQcxpeakNAJkPnAMqLrvjGCo;;
Alexis André;MacTuitui;"<p id="""">Alexis André is a French artist, researcher, and designer based in Tokyo at the forefront of redefining procedural art. Driven by a generative approach, André's work encompasses more than just his artistic practice; it represents a holistic effort to reshape the way people experience art. Drawing upon his extensive expertise and cross-disciplinary perspective, André continues to push the boundaries of creativity and transform his scripts into immersive and personalized artworks. With a vision for personalized experiences, André envisions a future where generative systems empower the creation of individually tailored pieces. To bring this concept to life, he developed the award-winning robot toy platform ""toio,"" recognized for its innovative design (including iF Design, Reddot, and Good Design awards).<br><br>André's generative art pieces have gained global recognition, showcased at prestigious events such as Siggraph, Tokyo, Art Basel Miami, and COP26 in Glasgow. His work has also been featured in auctions at Sotheby's and Christie's. André’s academic background includes engineering (Information Science and Energy from Supélec, 2003) and advanced degrees (M.S. and Ph.D. in Computer Science from Tokyo Institute of Technology, 2004, 2009).</p>";April 13, 1982;;https://twitter.com/MacTuitui;https://www.instagram.com/mactuitui/;0x2776621FF536af829919aB6Cba8dB434aEBA43F9;;;tz1NNcP1AkgvJ87WXctCqgnsANaPXzGtnbiL;;
Aluan Wang;Ileivoivm;"<p id="""">Aluan Wang, an innovative audiovisual artist from Taiwan, has gained international recognition for his unique integration of multimedia design and interactive programming. In 2021, he became the first Taiwanese artist featured on Art Blocks, showcasing his captivating fusion of geometric visuals and dynamic breakbeat music, establishing a distinct artistic identity. His exceptional talent and relentless drive to push artistic boundaries have earned him prestigious accolades at the Taipei Arts Festival in 2012 and 2015. Aluan continuously explores the boundless potential of generative art, blending elements of fantasy, cyberpunk aesthetics, and resonant social themes to deliver an immersive visual experience that defies traditional artistic conventions.</p>";;https://aluanwang.com/;https://twitter.com/IOivm;https://www.instagram.com/aluan_wang;;;;tz1cbhmVZuFTKHcACSFpg5ER1bGVGkanhrbW;tz1SLRzGqX9fuKPx1PAkrDxCvaetr524is11;
Ana María Caballero;;<p>Ana María Caballero is an acclaimed Colombian-American poet and multidisciplinary artist pioneering the Web3 literary revolution. Her work challenges societal norms by exploring how biology influences cultural rites, critiquing romanticized motherhood and the notion of sacrifice as a virtue. Her work has won awards such as the Beverly International Prize, MAXXI BVLGARI Prize and Colombia’s José Manuel Arango National Poetry Prize. Recognized for her pioneering digital poetry, Ana María's work has been exhibited globally, shortlisted for the Lumen Prize, and made history in 2024 as the first living poet to sell a poem at Sotheby’s. Co-founder of the digital poetry gallery theVERSEverse, she reshapes poetry's experience, exhibition, and transaction methods, amplifying voices and redefining the boundaries of art and technology.</p>;;https://anamariacaballero.com/;https://twitter.com/CaballeroAnaMa;https://www.instagram.com/anamariacaballero/;0x5a6aBe2B4BD1E178d984AFa8630cD6AC212B070b;;;tz1X4Z7JcyYAgxr33bh2XyWBXMug5AcuKg5y;;
Analivia Cordeiro;;"<p>Analivia Cordeiro is a pioneering Brazilian artist, merging dance, video, and code. She originally studied Laban’s Method in Brazil, eventually learning modern dance methods in New York alongside other pioneers such as Alvin Nikolais, Merce Cunningham, and Viola Farber. Cordeiro's pioneering work in computer dance began in the early 1970s with <em>M 3x3</em>, a groundbreaking piece generating choreographic movements with a computer—a milestone in video dance.<br><br>Her artistic journey delves into body awareness, exemplified by the DuCorpo exercises. Collaborating with engineers, she developed the Nota-Ana annotation system, illustrating movement in space and time. In ""Unsquare Dance,"" a collaboration with researcher Luiz Velho, Cordeiro wields light projections through dance, creating a fusion of visual art and movement.<br><br>Her legacy spans international exhibitions, from the Bienal de São Paulo to the Institute of Contemporary Arts in London. In 2015, Cordeiro received the prestigious Premio ARCOmadrid/BEEP de Arte Electrónico for <em>M 3x3</em>. As a prolific author, she has contributed extensively to the discourse on dance and technology in art.</p>";;https://www.analivia.com.br/;;;0x3534Efc14E0064e270f7D0d251c23e1234b2C6e1;;;;;
Andreas Gysin;ertdfgcvb;<p>Art. Code.</p>;;https://ertdfgcvb.xyz/;https://twitter.com/andreasgysin;https://www.instagram.com/andreasgysin/?hl=en;0xff91c1baa2824d0e593bc7d7be4179e4f7a41b40;;;tz1dEF5ZMTnBSkz2ZQPvpJjwyfeUUyGjeMtf;;
Andreas Rau;;"<p id="""">Andreas Rau is a generative artist and interaction designer whose work incorporates playful interactions, dynamic patterns, rich textures, unexpected breaks and overlapping rhythms. He explores the relationship between people and their physical and digital environments through kinetic sculptures, plotter drawings and generative visuals. While the blockchain and NFTs have created a new context for his purely digital work, many of Rau's works have a physical component, relying on tools such as a pen plotter, CNC machine or weaving loom. His art is inspired by traditional textile masters such as Gunta Stölzl, Sophie Taeuber-Arp and Anni Albers as seen in his genesis fx(hash) project, <em id="""">Loom</em>.</p>";;https://andreasrau.eu/;https://twitter.com/andreasrau_eu;https://www.instagram.com/andreasrau.eu/?hl=en;0x3e4DDbEE19677891C922d803b4A360B477ad8324;;;tz1Roq6end2LFtkpGrmuyRZH82xsWfaRCat1;;
Andrew Benson;pixlpa;"<p id="""">Andrew Benson is a California-based experimental artist and animator. He works primarily with software-based digital and electronic media, interactive installations and animation. His work has been exhibited worldwide through screenings, festivals, museums and galleries. Benson has collaborated with iconic musicians throughout his career, including Aphex Twin, Clipping and M.I.A. His academic background includes a BFA in Painting at the San Francisco Art Institute where he currently teaches in the Art + Technology department.</p>";September 19, 1979;https://pixlpa.com/;https://twitter.com/pixlpa;https://www.instagram.com/pixlpa;0x47Edbd307180556dBbEb5BeABD8A40ac30520f57;;;tz1h8CPQyhLvJWEgSjJPNvVZSQBeG1betFXh;;
Anna Carreras;;"<p id="""">Anna Carreras is a Barcelona-based digital artist and creative coder focusing on generative algorithms and interactive technology. Her practice explores the balance between order and chaos, often examining the complexity that emerges from simple behavior. Carreras develops interactive installations that encourage audience participation and collaboration, merging art and technology to create new experiences and narratives. Her code draws inspiration from her Mediterranean roots and surroundings. Carreras’s academic background includes two MSc degrees in Engineering and Audiovisual Technologies. Her work has been exhibited across the globe and has won international awards such as the Cannes Golden Lion and Google Dev Art Award.</p>";;https://www.annacarreras.com/;https://twitter.com/carreras_anna;;0x32f848B9436F6400E5FA1fd46E9b96F4541C0966;;;tz1bjGah9KhGHuVGxuabQM2okXyafnPMxvhH;;
Anna Lucia;;"<p id="""">Anna Lucia is a self-taught Dutch artist and engineer currently residing in Cairo, Egypt. Lucia’s work specializes in computer programs that combine mathematics and computer science concepts with crafts such as textile work to generate geometric abstractions with bold color palettes. Her work includes endless animations, interactive elements and VR. Lucia has participated in several exhibitions worldwide, including Art Basel Miami, Venice Biennale and Vellum LA. She studied at the Technical University of Delft and continues to explore new and unique ways of presenting her innovative work to audiences.</p>";;https://twitter.com/annaluciacodes;https://twitter.com/annaluciacodes;https://www.instagram.com/anna.lucia.codes;0x101419E2d84470d900C41B86974B5912C92f01FE;;;tz1M7dt8sWC64ZXkmiWbttVCtgFrFU6Do9x9;;
Anna Ridler;;"<p id="""">Anna Ridler is a London-based artist and researcher working with self-developed data sets to explore the creative potential of artificial intelligence and machine learning. Ridler explores themes such as global markets, scarcity, economics and more through the use of neural networks. Since 2017, Ridler's AI work has been exhibited across the world at the V&amp;A, Barbican Centre, Tate Modern, HEK Basel, Centre Pompidou, ZKM Karlsruhe and Ars Electronica. Her academic background includes a Bachelor of Arts in English Literature and Language from Oxford University and a Master of Arts in Information Experience Design from the Royal College of Art.</p>";March 3, 1985;http://annaridler.com/;https://twitter.com/annaridler;https://www.instagram.com/annaridler;0x71A7767e47bBBcBb194ebAE8C7b4D2A8215E9773;0xf705CdC5ad3869BAD087620c1b52Eb2E55019692;0x8CEd409708005b5AE639671AcBD21Bbd1363F444;;;
Arsiliath;;"<p id="""">Arsiliath is an artist and programmer whose work blends nature-inspired algorithms and physics simulations. Inspired by researchers and artists such as Sage Jenson, Dagmar Iber, and Andy Lomas, Arsiliath creates intricate systems that evoke lifelike characteristics. Arsiliath focuses on breathing life into his systems, crafting vivid, otherworldly life-forms within coded parameters. His creations go beyond the mechanics of simulation, making his coded life-forms feel startlingly alive, giving insight to a cosmos tuned differently.<br><br>Trained in both computer science and design, Arsiliath bridges technical complexity and artistic beauty. Outside his research-driven artistic practice, he shares his knowledge by teaching programming and art classes.</p>";;;https://twitter.com/arsiliath;;0x24aDc28C0A1b1782E55d52Ac67E810ca0Cb0d2Bd;;;tz1Q5AYJLYkb6wNxvCENaZxfvHHVMdp9a5As;;
Ben Kovach;;"<p id="""">Ben Kovach is a visual artist based in Burlington, Vermont, who creates generative algorithmic art with a naturalist aestheitc. He discovered the benefits of procedural coding in 2017, allowing him to quickly explore his artistic ideas and save his stylistic choices for future use. Kovach has released two long-form collections, <em id="""">Edifice</em> and <em id="""">100 PRINT</em>, through Art Blocks and Bright Moments respectively. His aims to explore the vast space of potential outputs enabled by computing with the world.</p>";;https://bendotk.com/;https://twitter.com/bendotk;https://www.instagram.com/bendotk/?hl=en;0x4056d8246deFF465667adDc33bd97b350578ed02;;;tz1h2J4wVUrdAKSNCnCZgSkG4vXRqUtVwAXB;;
Bjørn Staal;Nonfigurativ;"<p id="""">Bjørn Staal, also known as nonfigurativ, is a Norwegian artist, programmer, and researcher whose work explores the dynamic interactions between digital systems and human perception and behavior. With more than a decade of experience in multidisciplinary design and software development, Staal co-founded the experimental design studio Void in 2015. Focused mainly on the development of large-scale interactive installations, Void has gained international recognition for its work at the intersection of design, architecture, technology, and art. Since leaving the studio in 2023, Staal has focused on his personal work, exploring how dynamic systems can enrich our experience and understanding of what it means to be human in an age where more and more of our agency is being outsourced to algorithms.</p>";;;https://x.com/_nonfigurativ_;https://instagram.com/_nonfigurativ_;0xda8457bCC1096b4c66316b0A40c165D681Bf244C;;;tz1TJeLZPhHFPfZqSFcxQrpbjU8C2SjwYnqF;;
Botto;;"<p id="""">Botto is a decentralized, autonomous artist governed by the people. Botto’s AI model is built upon millions of images and each week it works to generate over 4,000 new artworks within the latent space. Botto’s community comes together to vote on their favorite outputs, providing feedback that perpetually evolves the systems model.</p>";;https://www.botto.com/;https://twitter.com/bottoproject;https://www.instagram.com/bottoproject;0x000a837ddd815bcba0fa91a98a50aa7a3fa62c9c;;;;;
Casey Reas;Caesuras;"<p id="""">Casey Reas is regarded as one of the most influential figures in modern-day generative art and creative coding. Reas co-founded Processing, the design-centric computer language which has become the foundation for a vast majority of today’s generative art. Since the early 2000s, his work has been showcased around the world in numerous solo and group exhibitions at institutions such as MoMA, ZKM Karlsruhe, bitforms, DAM, Phillips, Sotheby's, Christie's and others. Many of his most iconic pieces reside in the permanent collections of major museums, including V&amp;A, Centre Pompidou and Whitney Museum of American Art. Reas also created Feral File, a group-oriented exhibition platform featuring several prominent artists. Reas’s typical long-form projects on Art Blocks and fxhash pay homage to the modernist aesthetics that inspired digital generative art. Meanwhile, his alternate identity, Caesuras, brings some of his most vibrant, bold and experimental work to the blockchain.</p>";October 20, 1972;http://www.reas.com/;https://twitter.com/REAS;https://www.instagram.com/reas/?hl=en;0x457ee5f723C7606c12a7264b52e285906F91eEA6;;;tz1LBwyJMRkH4tcG19KwYzAW7fLYbjFmWdWy;tz1UcXyKMh5CB561T7KVVW5HsSfrRGj1DQmT;
Ciphrd;Baptiste Crespy;"<p id="""">Ciphrd is a France-based artist, developer, and programmer interested in the exploration of autonomous systems from which life-like behaviors emerge who is also renowned for creating the generative art platform fx(hash). Ciphrd, a well-skilled WEBGL/front-end developer, was maintaining a side hobby in creative coding before eventually going on to develop fx(hash) in hopes of creating the platform he himself had always dreamed of. fx(hash) has become the inclusive home for hash-based generative art platform on Tezos, helping artists showcase and sell their artwork to passionate collectors. Ciphrd continues his artistic journey while developing the platform by releasing iconic projects that include RGB Elementary Cellular Automaton with historical references to Stephen Wolfram’s Automata and more of his signature work in Ethereal Microcosm where he explores the micro-intricacies of biological growth.</p>";;https://ciphrd.com/;https://twitter.com/ciphrd;https://www.instagram.com/ciphrd/;;;;tz1PoDdN2oyRyF6DA73zTWAWYhNL4UGr3Egj;;
